item,front_back,left_right,top_bottom,grid,blue_synthetic_01,purple_cotton_01,red_synthetic_01,blue_synthetic_04,teal_cotton_04,white_cat_04,black_animal_05,blue_animal_05,red_animal_05,green_cotton_12,orange_cotton_12,red_synthetic_12,white_cat_12,black_animal_14,blue_animal_14,red_animal_14,white_cat_14,green_cotton_15,purple_cotton_15,yellow_cotton_15
01-01,F,R,T,A1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,D1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01-01,F,R,T,E1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,A2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,B2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,D2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,E2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
01-01,F,R,T,B3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01-01,F,R,T,C3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01,F,R,T,F3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
